	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
67	67	ko:K00121	3.7914650689649524e-18	40.11377916776205	9.787998076451744e-18
68	68	ko:K00123	2.6351872522153605e-45	102.64737494180427	4.2018319088265315e-44
69	69	ko:K00124	1.673049628878719e-22	50.14222395970256	5.273348675209978e-22
70	70	ko:K00125	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
71	71	ko:K00127	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
72	72	ko:K00128	6.865408342022957e-34	76.36139764262438	3.887848233797402e-33
73	73	ko:K00130	7.382621255311619e-27	60.17066875164307	2.998775027382322e-26
74	74	ko:K00131	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
75	75	ko:K00132	0.00017649913922302107	8.642194558526208	0.00021063853832720977
76	76	ko:K00133	3.41203006039013e-33	74.75800062901648	1.8875257449722814e-32
77	77	ko:K00134	3.0455210166258935e-54	123.22592302952924	9.599293374884406e-53
78	78	ko:K00135	7.382621255311619e-27	60.17066875164307	2.998775027382322e-26
79	79	ko:K00138	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
80	80	ko:K00140	2.3364646941804086e-08	17.57204177146654	3.757937281067065e-08
81	81	ko:K00145	1.101168297111507e-34	78.19152145732676	6.5362778044604196e-34
82	82	ko:K00146	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
83	83	ko:K00147	6.040629490659186e-40	90.30489549293785	5.698654178426972e-39
84	84	ko:K00151	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
85	85	ko:K00153	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
86	86	ko:K00156	0.00017649913922302107	8.642194558526208	0.00021063853832720977
87	87	ko:K00158	4.605654390068163e-15	33.011491631049935	1.0479345691112005e-14
88	88	ko:K00161	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
89	89	ko:K00162	1.673049628878719e-22	50.14222395970256	5.273348675209978e-22
90	90	ko:K00163	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
91	91	ko:K00164	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
92	92	ko:K00169	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
93	93	ko:K00170	6.582789442680473e-17	37.25948799793437	1.6330458739437954e-16
94	94	ko:K00171	0.0015875112512060531	6.445587739848651	0.0018095937054678475
95	95	ko:K00172	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
96	96	ko:K00174	0.002160207261554008	6.137551107466242	0.0024589593296412645
97	97	ko:K00175	0.002160207261554008	6.137551107466242	0.0024589593296412645
98	98	ko:K00176	0.0011026816146279472	6.810010234388473	0.001260473276659329
100	100	ko:K00179	1.4707607393431385e-06	13.429730781278385	2.2338861285652602e-06
101	101	ko:K00180	0.000705840805409214	7.256120833986225	0.0008130166330860805
102	102	ko:K00184	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
103	103	ko:K00185	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
104	104	ko:K00186	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
105	105	ko:K00196	1.0512853936532384e-07	16.06808205106002	1.650396297526667e-07
106	106	ko:K00198	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
107	107	ko:K00207	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
108	108	ko:K00208	3.1526477178115217e-40	90.95516107464769	3.0304174044022806e-39
109	109	ko:K00209	0.00017649913922302107	8.642194558526208	0.00021063853832720977
110	110	ko:K00210	0.00017649913922302107	8.642194558526208	0.00021063853832720977
111	111	ko:K00215	1.9649826763986816e-24	54.58655880265683	7.146350234559068e-24
112	112	ko:K00216	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
113	113	ko:K00219	7.382621255311619e-27	60.17066875164307	2.998775027382322e-26
114	114	ko:K00220	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
115	115	ko:K00226	1.5895245021646256e-19	43.285681850623035	4.522747813716842e-19
116	116	ko:K00230	1.673049628878719e-22	50.14222395970256	5.273348675209978e-22
117	117	ko:K00231	0.00039708801653915126	7.831352597720968	0.0004634213189575744
118	118	ko:K00232	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
119	119	ko:K00239	9.718198844012252e-28	62.198382306645826	4.2397206544800235e-27
120	120	ko:K00240	0.0011026816146279472	6.810010234388473	0.001260473276659329
121	121	ko:K00241	0.0015875112512060531	6.445587739848651	0.0018095937054678475
122	122	ko:K00243	9.998870705248724e-21	46.05181479573305	2.974060591627016e-20
123	123	ko:K00244	2.0028385297980609e-85	195.0251674652394	1.809675880479759e-83
124	124	ko:K00245	1.673049628878719e-22	50.14222395970256	5.273348675209978e-22
125	125	ko:K00248	2.5389414924871583e-21	47.42253969394405	7.641255446671196e-21
126	126	ko:K00252	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
127	127	ko:K00254	6.865408342022957e-34	76.36139764262438	3.887848233797402e-33
128	128	ko:K00259	9.589702941968254e-18	39.18584176128868	2.4369832601276824e-17
129	129	ko:K00260	0.000705840805409214	7.256120833986225	0.0008130166330860805
130	130	ko:K00261	1.0310549911546956e-08	18.39009820265353	1.712528428935863e-08
131	131	ko:K00262	5.645445258318855e-23	51.22860806778763	1.9619128564379885e-22
132	132	ko:K00265	7.214283060008364e-23	50.98339431955675	2.462911412426029e-22
133	133	ko:K00266	1.4016124740900302e-34	77.95026982074417	8.283366743677417e-34
135	135	ko:K00278	1.0429982209537723e-16	36.79926201758863	2.582722756637051e-16
136	136	ko:K00281	0.00017649913922302107	8.642194558526208	0.00021063853832720977
137	137	ko:K00282	0.00017649913922302107	8.642194558526208	0.00021063853832720977
138	138	ko:K00283	0.00039708801653915126	7.831352597720968	0.0004634213189575744
139	139	ko:K00284	7.214283060008364e-23	50.98339431955675	2.462911412426029e-22
140	140	ko:K00285	1.673049628878719e-22	50.14222395970256	5.273348675209978e-22
141	141	ko:K00286	5.8727465667004406e-37	83.42532601744344	3.993074839498995e-36
142	142	ko:K00287	5.020686716646124e-47	106.6079326502276	8.875700952123105e-46
144	144	ko:K00290	7.297586737375175e-07	14.130551941380093	1.1154882584273482e-06
146	146	ko:K00297	3.82194262133495e-13	28.59284737595008	7.860403995117809e-13
148	148	ko:K00317	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
149	149	ko:K00324	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
150	150	ko:K00325	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
155	155	ko:K00334	0.00039708801653915126	7.831352597720968	0.0004634213189575744
156	156	ko:K00335	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
157	157	ko:K00336	2.4205906683866732e-20	45.16769027164874	7.106225023581381e-20
158	158	ko:K00337	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
162	162	ko:K00341	0.00039708801653915126	7.831352597720968	0.0004634213189575744
163	163	ko:K00342	0.00039708801653915126	7.831352597720968	0.0004634213189575744
164	164	ko:K00343	0.00039708801653915126	7.831352597720968	0.0004634213189575744
165	165	ko:K00344	3.017451086692174e-35	79.48606579081175	1.847734355194334e-34
172	172	ko:K00354	1.0512853936532384e-07	16.06808205106002	1.650396297526667e-07
174	174	ko:K00362	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
175	175	ko:K00364	2.564265684644683e-26	58.925540262998794	1.0181937767348908e-25
176	176	ko:K00366	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
177	177	ko:K00370	0.000705840805409214	7.256120833986225	0.0008130166330860805
178	178	ko:K00371	0.00039708801653915126	7.831352597720968	0.0004634213189575744
